date,state,amount
2020-03-01,Confirmed,1694
2020-03-01,Deaths,34
2020-03-01,Recovered,83
2020-03-02,Confirmed,3730
2020-03-02,Deaths,86
2020-03-02,Recovered,232
2020-03-03,Confirmed,6232
2020-03-03,Deaths,165
2020-03-03,Recovered,392
2020-03-04,Confirmed,9321
2020-03-04,Deaths,272
2020-03-04,Recovered,668
2020-03-05,Confirmed,13179
2020-03-05,Deaths,420
2020-03-05,Recovered,1082
2020-03-06,Confirmed,17815
2020-03-06,Deaths,617
2020-03-06,Recovered,1605
2020-03-07,Confirmed,23698
2020-03-07,Deaths,850
2020-03-07,Recovered,2194
2020-03-08,Confirmed,31073
2020-03-08,Deaths,1216
2020-03-08,Recovered,2816
2020-03-09,Confirmed,40245
2020-03-09,Deaths,1679
2020-03-09,Recovered,3540
2020-03-10,Confirmed,50394
2020-03-10,Deaths,2310
2020-03-10,Recovered,4264
2020-03-11,Confirmed,62856
2020-03-11,Deaths,3137
2020-03-11,Recovered,5309
2020-03-12,Confirmed,75318
2020-03-12,Deaths,3964
2020-03-12,Recovered,6354
2020-03-13,Confirmed,92978
2020-03-13,Deaths,5230
2020-03-13,Recovered,7793
2020-03-14,Confirmed,114135
2020-03-14,Deaths,6671
2020-03-14,Recovered,9759
2020-03-15,Confirmed,138882
2020-03-15,Deaths,8480
2020-03-15,Recovered,12094
2020-03-16,Confirmed,166862
2020-03-16,Deaths,10638
2020-03-16,Recovered,14843
2020-03-17,Confirmed,198368
2020-03-17,Deaths,13141
2020-03-17,Recovered,17784
2020-03-18,Confirmed,234081
2020-03-18,Deaths,16119
2020-03-18,Recovered,21809
2020-03-19,Confirmed,275116
2020-03-19,Deaths,19524
2020-03-19,Recovered,26249
2020-03-20,Confirmed,322137
2020-03-20,Deaths,23556
2020-03-20,Recovered,30689
2020-03-21,Confirmed,375715
2020-03-21,Deaths,28381
2020-03-21,Recovered,36761
2020-03-22,Confirmed,434853
2020-03-22,Deaths,33857
2020-03-22,Recovered,43785
2020-03-23,Confirmed,498780
2020-03-23,Deaths,39934
2020-03-23,Recovered,51217
2020-03-24,Confirmed,567956
2020-03-24,Deaths,46754
2020-03-24,Recovered,59543
2020-03-25,Confirmed,642342
2020-03-25,Deaths,54257
2020-03-25,Recovered,68905
2020-03-26,Confirmed,722931
2020-03-26,Deaths,62472
2020-03-26,Recovered,79266
2020-03-27,Confirmed,809429
2020-03-27,Deaths,71606
2020-03-27,Recovered,90216
2020-03-28,Confirmed,901901
2020-03-28,Deaths,81629
2020-03-28,Recovered,102600
2020-03-29,Confirmed,999590
2020-03-29,Deaths,92408
2020-03-29,Recovered,115630
2020-03-30,Confirmed,1101329
2020-03-30,Deaths,103999
2020-03-30,Recovered,130250
2020-03-31,Confirmed,1207121
2020-03-31,Deaths,116427
2020-03-31,Recovered,145979
2020-04-01,Confirmed,1317695
2020-04-01,Deaths,129582
2020-04-01,Recovered,162826
2020-04-02,Confirmed,1432937
2020-04-02,Deaths,143497
2020-04-02,Recovered,181104
2020-04-03,Confirmed,1552764
2020-04-03,Deaths,158178
2020-04-03,Recovered,200862
2020-04-04,Confirmed,1677396
2020-04-04,Deaths,173540
2020-04-04,Recovered,221858
2020-04-05,Confirmed,1806344
2020-04-05,Deaths,189427
2020-04-05,Recovered,243673
2020-04-06,Confirmed,1938891
2020-04-06,Deaths,205950
2020-04-06,Recovered,266510
2020-04-07,Confirmed,2074477
2020-04-07,Deaths,223077
2020-04-07,Recovered,290902
2020-04-08,Confirmed,2213899
2020-04-08,Deaths,240746
2020-04-08,Recovered,317393
2020-04-09,Confirmed,2357525
2020-04-09,Deaths,259025
2020-04-09,Recovered,345863
2020-04-10,Confirmed,2505102
2020-04-10,Deaths,277874
2020-04-10,Recovered,376318
2020-04-11,Confirmed,2657373
2020-04-11,Deaths,297342
2020-04-11,Recovered,408852
2020-04-12,Confirmed,2813736
2020-04-12,Deaths,317241
2020-04-12,Recovered,443063
2020-04-13,Confirmed,2973252
2020-04-13,Deaths,337706
2020-04-13,Recovered,478498
2020-04-14,Confirmed,3135740
2020-04-14,Deaths,358773
